Sample;Treatment;Spray;Replicate;Time;Name
1;Ax;U;1;t1;Ax_U_1_t1
2;Ax;U;2;t1;Ax_U_2_t1
3;Ax;U;3;t1;Ax_U_3_t1
4;Ax;U;4;t1;Ax_U_4_t1
5;Ax;Mg;1;t1;Ax_Mg_1_t1
6;Ax;Mg;2;t1;Ax_Mg_2_t1
7;Ax;Mg;3;t1;Ax_Mg_3_t1
8;Ax;Mg;4;t1;Ax_Mg_4_t1
9;ALL;U;1;t1;ALL_U_1_t1
10;ALL;U;2;t1;ALL_U_2_t1
11;ALL;U;3;t1;ALL_U_3_t1
12;ALL;U;4;t1;ALL_U_4_t1
13;ALL;U;5;t1;ALL_U_5_t1
14;ALL;U;6;t1;ALL_U_6_t1
15;ALL;Mg;1;t1;ALL_Mg_1_t1
16;ALL;Mg;2;t1;ALL_Mg_2_t1
17;ALL;Mg;3;t1;ALL_Mg_3_t1
18;ALL;Mg;4;t1;ALL_Mg_4_t1
19;ALL;Mg;5;t1;ALL_Mg_5_t1
20;ALL;Mg;6;t1;ALL_Mg_6_t1
21;ALL;Mg;7;t1;ALL_Mg_7_t1
22;ALL;Mg;8;t1;ALL_Mg_8_t1
23;ALL;Mg;9;t1;ALL_Mg_9_t1
24;ALL;Mg;10;t1;ALL_Mg_10_t1
25;ALL;Mg;11;t1;ALL_Mg_11_t1
26;ALL;Mg;12;t1;ALL_Mg_12_t1
27;ALL;Mg;13;t1;ALL_Mg_13_t1
28;ALL;Mg;14;t1;ALL_Mg_14_t1
29;ALL;Mg;15;t1;ALL_Mg_15_t1
30;ALL;Mg;16;t1;ALL_Mg_16_t1
31;ALL;Mg;17;t1;ALL_Mg_17_t1
32;ALL;Mg;18;t1;ALL_Mg_18_t1
33;No A;U;1;t1;No A_U_1_t1
34;No A;U;2;t1;No A_U_2_t1
35;No A;U;3;t1;No A_U_3_t1
36;No A;U;4;t1;No A_U_4_t1
37;No A;U;5;t1;No A_U_5_t1
38;No A;U;6;t1;No A_U_6_t1
39;No A;U;7;t1;No A_U_7_t1
40;No A;U;8;t1;No A_U_8_t1
41;No A;Mg;1;t1;No A_Mg_1_t1
42;No A;Mg;2;t1;No A_Mg_2_t1
43;No A;Mg;3;t1;No A_Mg_3_t1
44;No A;Mg;4;t1;No A_Mg_4_t1
45;No A;Mg;5;t1;No A_Mg_5_t1
46;No A;Mg;6;t1;No A_Mg_6_t1
47;No A;Mg;7;t1;No A_Mg_7_t1
48;No A;Mg;8;t1;No A_Mg_8_t1
49;No A;A;1;t1;No A_A_1_t1
50;No A;A;2;t1;No A_A_2_t1
51;No A;A;3;t1;No A_A_3_t1
52;No A;A;4;t1;No A_A_4_t1
53;No A;A;5;t1;No A_A_5_t1
54;No A;A;6;t1;No A_A_6_t1
55;No A;A;7;t1;No A_A_7_t1
56;No A;A;8;t1;No A_A_8_t1
57;No A;A;9;t1;No A_A_9_t1
58;No A;A;10;t1;No A_A_10_t1
59;No A;A;11;t1;No A_A_11_t1
60;No A;A;12;t1;No A_A_12_t1
61;No A;A;13;t1;No A_A_13_t1
62;No A;A;14;t1;No A_A_14_t1
63;No A;A;15;t1;No A_A_15_t1
64;No A;A;16;t1;No A_A_16_t1
65;No B;U;1;t1;No B_U_1_t1
66;No B;U;2;t1;No B_U_2_t1
67;No B;U;3;t1;No B_U_3_t1
68;No B;U;4;t1;No B_U_4_t1
69;No B;U;5;t1;No B_U_5_t1
70;No B;U;6;t1;No B_U_6_t1
71;No B;U;7;t1;No B_U_7_t1
72;No B;U;8;t1;No B_U_8_t1
73;No B;Mg;1;t1;No B_Mg_1_t1
74;No B;Mg;2;t1;No B_Mg_2_t1
75;No B;Mg;3;t1;No B_Mg_3_t1
76;No B;Mg;4;t1;No B_Mg_4_t1
77;No B;Mg;5;t1;No B_Mg_5_t1
78;No B;Mg;6;t1;No B_Mg_6_t1
79;No B;Mg;7;t1;No B_Mg_7_t1
80;No B;Mg;8;t1;No B_Mg_8_t1
81;No B;B;1;t1;No B_B_1_t1
82;No B;B;2;t1;No B_B_2_t1
83;No B;B;3;t1;No B_B_3_t1
84;No B;B;4;t1;No B_B_4_t1
85;No B;B;5;t1;No B_B_5_t1
86;No B;B;6;t1;No B_B_6_t1
87;No B;B;7;t1;No B_B_7_t1
88;No B;B;8;t1;No B_B_8_t1
90;No B;B;10;t1;No B_B_10_t1
91;No B;B;11;t1;No B_B_11_t1
92;No B;B;12;t1;No B_B_12_t1
93;No B;B;13;t1;No B_B_13_t1
94;No B;B;14;t1;No B_B_14_t1
95;No B;B;15;t1;No B_B_15_t1
96;No B;B;16;t1;No B_B_16_t1
97;No G;U;1;t1;No G_U_1_t1
98;No G;U;2;t1;No G_U_2_t1
99;No G;U;3;t1;No G_U_3_t1
100;No G;U;4;t1;No G_U_4_t1
101;No G;U;5;t1;No G_U_5_t1
102;No G;U;6;t1;No G_U_6_t1
103;No G;U;7;t1;No G_U_7_t1
104;No G;U;8;t1;No G_U_8_t1
105;No G;Mg;1;t1;No G_Mg_1_t1
106;No G;Mg;2;t1;No G_Mg_2_t1
107;No G;Mg;3;t1;No G_Mg_3_t1
