Sample;Treatment;Replicate;Time;Name
321;Ax;1;t2;Ax_1_R2
322;Ax;2;t2;Ax_2_R2
323;Ax;3;t2;Ax_3_R2
324;Ax;4;t2;Ax_4_R2
325;Ax;5;t2;Ax_5_R2
326;Ax;6;t2;Ax_6_R2
327;Ax;7;t2;Ax_7_R2
328;Ax;8;t2;Ax_8_R2
329;ALL;1;t2;ALL_1_R2
330;ALL;2;t2;ALL_2_R2
331;ALL;3;t2;ALL_3_R2
332;ALL;4;t2;ALL_4_R2
333;ALL;5;t2;ALL_5_R2
334;ALL;6;t2;ALL_6_R2
335;ALL;7;t2;ALL_7_R2
336;ALL;8;t2;ALL_8_R2
337;ALL;9;t2;ALL_9_R2
338;ALL;10;t2;ALL_10_R2
339;ALL;11;t2;ALL_11_R2
340;ALL;12;t2;ALL_12_R2
341;-33;1;t2;-33_1_R2
342;-33;2;t2;-33_2_R2
343;-33;3;t2;-33_3_R2
344;-33;4;t2;-33_4_R2
345;-33;5;t2;-33_5_R2
346;-33;6;t2;-33_6_R2
347;-33;7;t2;-33_7_R2
348;-33;8;t2;-33_8_R2
349;-33;9;t2;-33_9_R2
350;-33;10;t2;-33_10_R2
351;-33;11;t2;-33_11_R2
352;-33;12;t2;-33_12_R2
353;-61;1;t2;-61_1_R2
354;-61;2;t2;-61_2_R2
355;-61;3;t2;-61_3_R2
356;-61;4;t2;-61_4_R2
357;-61;5;t2;-61_5_R2
358;-61;6;t2;-61_6_R2
359;-61;7;t2;-61_7_R2
360;-61;8;t2;-61_8_R2
361;-61;9;t2;-61_9_R2
362;-61;10;t2;-61_10_R2
363;-61;11;t2;-61_11_R2
364;-61;12;t2;-61_12_R2
365;-68;1;t2;-68_1_R2
366;-68;2;t2;-68_2_R2
367;-68;3;t2;-68_3_R2
368;-68;4;t2;-68_4_R2
369;-68;5;t2;-68_5_R2
370;-68;6;t2;-68_6_R2
371;-68;7;t2;-68_7_R2
372;-68;8;t2;-68_8_R2
373;-68;9;t2;-68_9_R2
374;-68;10;t2;-68_10_R2
375;-68;11;t2;-68_11_R2
376;-68;12;t2;-68_12_R2
377;-83;1;t2;-83_1_R2
378;-83;2;t2;-83_2_R2
379;-83;3;t2;-83_3_R2
380;-83;4;t2;-83_4_R2
381;-83;5;t2;-83_5_R2
382;-83;6;t2;-83_6_R2
383;-83;7;t2;-83_7_R2
384;-83;8;t2;-83_8_R2
385;-83;9;t2;-83_9_R2
386;-83;10;t2;-83_10_R2
387;-83;11;t2;-83_11_R2
388;-83;12;t2;-83_12_R2
389;-86;1;t2;-86_1_R2
390;-86;2;t2;-86_2_R2
391;-86;3;t2;-86_3_R2
392;-86;4;t2;-86_4_R2
393;-86;5;t2;-86_5_R2
394;-86;6;t2;-86_6_R2
395;-86;7;t2;-86_7_R2
396;-86;8;t2;-86_8_R2
397;-86;9;t2;-86_9_R2
398;-86;10;t2;-86_10_R2
399;-86;11;t2;-86_11_R2
400;-86;12;t2;-86_12_R2
401;-88;1;t2;-88_1_R2
402;-88;2;t2;-88_2_R2
403;-88;3;t2;-88_3_R2
404;-88;4;t2;-88_4_R2
406;-88;5;t2;-88_5_R2
407;-88;6;t2;-88_6_R2
408;-88;7;t2;-88_7_R2
409;-88;8;t2;-88_8_R2
410;-88;9;t2;-88_9_R2
411;-88;11;t2;-88_11_R2
412;-88;12;t2;-88_12_R2
413;-90;1;t2;-90_1_R2
414;-90;2;t2;-90_2_R2
415;-90;3;t2;-90_3_R2
416;-90;4;t2;-90_4_R2
417;-90;5;t2;-90_5_R2
418;-90;6;t2;-90_6_R2
419;-90;7;t2;-90_7_R2
420;-90;8;t2;-90_8_R2
421;-90;9;t2;-90_9_R2
422;-90;10;t2;-90_10_R2
423;-90;11;t2;-90_11_R2
424;-90;12;t2;-90_12_R2
425;-145;1;t2;-145_1_R2
426;-145;2;t2;-145_2_R2
427;-145;3;t2;-145_3_R2
428;-145;4;t2;-145_4_R2
429;-145;5;t2;-145_5_R2
430;-145;6;t2;-145_6_R2
431;-145;7;t2;-145_7_R2
432;-145;8;t2;-145_8_R2
433;-145;9;t2;-145_9_R2
434;-145;10;t2;-145_10_R2
435;-145;11;t2;-145_11_R2
436;-145;12;t2;-145_12_R2
437;-160;1;t2;-160_1_R2
438;-160;2;t2;-160_2_R2
439;-160;3;t2;-160_3_R2
440;-160;4;t2;-160_4_R2
441;-160;5;t2;-160_5_R2
442;-160;6;t2;-160_6_R2
443;-160;7;t2;-160_7_R2
444;-160;8;t2;-160_8_R2
445;-160;9;t2;-160_9_R2
446;-160;10;t2;-160_10_R2
447;-160;11;t2;-160_11_R2
448;-160;12;t2;-160_12_R2
449;-203;1;t2;-203_1_R2
450;-203;2;t2;-203_2_R2
451;-203;3;t2;-203_3_R2
452;-203;4;t2;-203_4_R2
453;-203;5;t2;-203_5_R2
454;-203;6;t2;-203_6_R2
455;-203;7;t2;-203_7_R2
456;-203;8;t2;-203_8_R2
457;-203;9;t2;-203_9_R2
458;-203;10;t2;-203_10_R2
459;-203;11;t2;-203_11_R2
460;-203;12;t2;-203_12_R2
461;-231;1;t2;-231_1_R2
462;-231;2;t2;-231_2_R2
463;-231;3;t2;-231_3_R2
464;-231;4;t2;-231_4_R2
465;-231;5;t2;-231_5_R2
466;-231;6;t2;-231_6_R2
467;-231;7;t2;-231_7_R2
468;-231;8;t2;-231_8_R2
469;-231;9;t2;-231_9_R2
470;-231;10;t2;-231_10_R2
471;-231;11;t2;-231_11_R2
472;-231;12;t2;-231_12_R2
473;-233;1;t2;-233_1_R2
474;-233;2;t2;-233_2_R2
475;-233;3;t2;-233_3_R2
476;-233;4;t2;-233_4_R2
477;-233;5;t2;-233_5_R2
478;-233;6;t2;-233_6_R2
479;-233;7;t2;-233_7_R2
480;-233;8;t2;-233_8_R2
481;-233;9;t2;-233_9_R2
482;-233;10;t2;-233_10_R2
483;-233;11;t2;-233_11_R2
484;-233;12;t2;-233_12_R2
485;-262;1;t2;-262_1_R2
486;-262;2;t2;-262_2_R2
487;-262;3;t2;-262_3_R2
488;-262;4;t2;-262_4_R2
489;-262;5;t2;-262_5_R2
490;-262;6;t2;-262_6_R2
491;-262;7;t2;-262_7_R2
492;-262;8;t2;-262_8_R2
493;-262;9;t2;-262_9_R2
494;-262;10;t2;-262_10_R2
495;-262;11;t2;-262_11_R2
496;-262;12;t2;-262_12_R2
497;-265;1;t2;-265_1_R2
498;-265;2;t2;-265_2_R2
499;-265;3;t2;-265_3_R2
500;-265;4;t2;-265_4_R2
501;-265;5;t2;-265_5_R2
502;-265;6;t2;-265_6_R2
503;-265;7;t2;-265_7_R2
504;-265;8;t2;-265_8_R2
505;-265;9;t2;-265_9_R2
506;-265;10;t2;-265_10_R2
507;-265;11;t2;-265_11_R2
508;-265;12;t2;-265_12_R2
509;-285;1;t2;-285_1_R2
510;-285;2;t2;-285_2_R2
511;-285;3;t2;-285_3_R2
512;-285;4;t2;-285_4_R2
513;-285;5;t2;-285_5_R2
514;-285;6;t2;-285_6_R2
515;-285;7;t2;-285_7_R2
516;-285;8;t2;-285_8_R2
517;-285;9;t2;-285_9_R2
518;-285;10;t2;-285_10_R2
519;-285;11;t2;-285_11_R2
520;-285;12;t2;-285_12_R2
521;-288;1;t2;-288_1_R2
522;-288;2;t2;-288_2_R2
523;-288;3;t2;-288_3_R2
524;-288;4;t2;-288_4_R2
525;-288;5;t2;-288_5_R2
526;-288;6;t2;-288_6_R2
527;-288;7;t2;-288_7_R2
528;-288;8;t2;-288_8_R2
529;-288;9;t2;-288_9_R2
530;-288;10;t2;-288_10_R2
531;-288;11;t2;-288_11_R2
532;-288;12;t2;-288_12_R2
533;-289;1;t2;-289_1_R2
534;-289;2;t2;-289_2_R2
535;-289;3;t2;-289_3_R2
536;-289;4;t2;-289_4_R2
537;-289;5;t2;-289_5_R2
538;-289;6;t2;-289_6_R2
539;-289;7;t2;-289_7_R2
540;-289;8;t2;-289_8_R2
541;-289;9;t2;-289_9_R2
542;-289;10;t2;-289_10_R2
543;-289;11;t2;-289_11_R2
544;-289;12;t2;-289_12_R2
545;-334;1;t2;-334_1_R2
546;-334;2;t2;-334_2_R2
547;-334;3;t2;-334_3_R2
548;-334;4;t2;-334_4_R2
549;-334;5;t2;-334_5_R2
550;-334;6;t2;-334_6_R2
551;-334;7;t2;-334_7_R2
552;-334;8;t2;-334_8_R2
553;-334;9;t2;-334_9_R2
554;-334;10;t2;-334_10_R2
555;-334;11;t2;-334_11_R2
556;-334;12;t2;-334_12_R2
557;-344;1;t2;-344_1_R2
558;-344;2;t2;-344_2_R2
559;-344;3;t2;-344_3_R2
560;-344;4;t2;-344_4_R2
561;-344;5;t2;-344_5_R2
562;-344;6;t2;-344_6_R2
563;-344;7;t2;-344_7_R2
564;-344;8;t2;-344_8_R2
565;-344;9;t2;-344_9_R2
566;-344;10;t2;-344_10_R2
567;-344;11;t2;-344_11_R2
568;-344;12;t2;-344_12_R2
569;-359;1;t2;-359_1_R2
570;-359;2;t2;-359_2_R2
571;-359;3;t2;-359_3_R2
572;-359;4;t2;-359_4_R2
573;-359;5;t2;-359_5_R2
574;-359;6;t2;-359_6_R2
575;-359;7;t2;-359_7_R2
576;-359;8;t2;-359_8_R2
577;-359;9;t2;-359_9_R2
578;-359;10;t2;-359_10_R2
579;-359;11;t2;-359_11_R2
580;-359;12;t2;-359_12_R2
581;-371;1;t2;-371_1_R2
582;-371;2;t2;-371_2_R2
583;-371;3;t2;-371_3_R2
584;-371;4;t2;-371_4_R2
585;-371;5;t2;-371_5_R2
586;-371;6;t2;-371_6_R2
587;-371;7;t2;-371_7_R2
588;-371;8;t2;-371_8_R2
589;-371;9;t2;-371_9_R2
590;-371;10;t2;-371_10_R2
591;-371;11;t2;-371_11_R2
592;-371;12;t2;-371_12_R2
593;-391;1;t2;-391_1_R2
594;-391;2;t2;-391_2_R2
595;-391;3;t2;-391_3_R2
596;-391;4;t2;-391_4_R2
597;-391;5;t2;-391_5_R2
598;-391;6;t2;-391_6_R2
599;-391;7;t2;-391_7_R2
600;-391;8;t2;-391_8_R2
601;-391;9;t2;-391_9_R2
602;-391;10;t2;-391_10_R2
603;-391;11;t2;-391_11_R2
604;-391;12;t2;-391_12_R2
605;-405;1;t2;-405_1_R2
606;-405;2;t2;-405_2_R2
607;-405;3;t2;-405_3_R2
608;-405;4;t2;-405_4_R2
609;-405;5;t2;-405_5_R2
610;-405;6;t2;-405_6_R2
611;-405;7;t2;-405_7_R2
612;-405;8;t2;-405_8_R2
613;-405;9;t2;-405_9_R2
614;-405;10;t2;-405_10_R2
615;-405;11;t2;-405_11_R2
616;-405;12;t2;-405_12_R2
617;-416;1;t2;-416_1_R2
618;-416;2;t2;-416_2_R2
619;-416;3;t2;-416_3_R2
620;-416;4;t2;-416_4_R2
621;-416;5;t2;-416_5_R2
622;-416;6;t2;-416_6_R2
623;-416;7;t2;-416_7_R2
624;-416;8;t2;-416_8_R2
625;-416;9;t2;-416_9_R2
626;-416;10;t2;-416_10_R2
627;-416;11;t2;-416_11_R2
628;-416;12;t2;-416_12_R2
629;-420;1;t2;-420_1_R2
630;-420;2;t2;-420_2_R2
631;-420;3;t2;-420_3_R2
632;-420;4;t2;-420_4_R2
633;-420;5;t2;-420_5_R2
634;-420;6;t2;-420_6_R2
635;-420;7;t2;-420_7_R2
636;-420;8;t2;-420_8_R2
637;-420;9;t2;-420_9_R2
638;-420;10;t2;-420_10_R2
639;-420;11;t2;-420_11_R2
640;-420;12;t2;-420_12_R2
695;-33;1;t0;-33_1_R2
696;-33;2;t0;-33_2_R2
697;-61;1;t0;-61_1_R2
698;-61;2;t0;-61_2_R2
699;-68;1;t0;-68_1_R2
700;-68;2;t0;-68_2_R2
701;-83;1;t0;-83_1_R2
702;-83;2;t0;-83_2_R2
703;-86;1;t0;-86_1_R2
704;-86;2;t0;-86_2_R2
705;-88;1;t0;-88_1_R2
706;-88;2;t0;-88_2_R2
707;-90;1;t0;-90_1_R2
708;-90;2;t0;-90_2_R2
709;-145;1;t0;-145_1_R2
710;-145;2;t0;-145_2_R2
711;-160;1;t0;-160_1_R2
712;-160;2;t0;-160_2_R2
713;-203;1;t0;-203_1_R2
714;-203;2;t0;-203_2_R2
715;-231;1;t0;-231_1_R2
716;-231;2;t0;-231_2_R2
717;-233;1;t0;-233_1_R2
718;-233;2;t0;-233_2_R2
719;-262;1;t0;-262_1_R2
720;-262;2;t0;-262_2_R2
721;-265;1;t0;-265_1_R2
722;-265;2;t0;-265_2_R2
723;-285;1;t0;-285_1_R2
724;-285;2;t0;-285_2_R2
725;-288;1;t0;-288_1_R2
726;-288;2;t0;-288_2_R2
727;-289;1;t0;-289_1_R2
728;-289;2;t0;-289_2_R2
729;-334;1;t0;-334_1_R2
730;-334;2;t0;-334_2_R2
731;-344;1;t0;-344_1_R2
732;-344;2;t0;-344_2_R2
733;-359;1;t0;-359_1_R2
734;-359;2;t0;-359_2_R2
735;-371;1;t0;-371_1_R2
736;-371;2;t0;-371_2_R2
737;-391;1;t0;-391_1_R2
738;-391;2;t0;-391_2_R2
739;-405;1;t0;-405_1_R2
740;-405;2;t0;-405_2_R2
741;-416;1;t0;-416_1_R2
742;-416;2;t0;-416_2_R2
743;-420;1;t0;-420_1_R2
744;-420;2;t0;-420_2_R2
745;ALL;1;t0;ALL_1_R2
746;ALL;2;t0;ALL_2_R2
747;CORE;1;t0;CORE_1_R2
748;CORE;2;t0;CORE_2_R2
